Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
"Universal Containers manages internal projects by department using a custom object called Projects. Only employees in the project's respective department should have view access to all of the department's project records. If an employee changes job roles and moves to another department, the employee should no longer have access to the projects within their former department.Which two options will meet these requirements assuming the organization-wide default for Projects is set to Private? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Create a criteria-based sharing rule using the Project's department that grants access to users by profiles.,0,Create a criteria-based sharing rule using the Project's department that grants access to users by permission sets.,0,Create a criteria-based sharing rule using the Project's department that grants access to users by roles.,1,Create a criteria-based sharing rule using the Project's department that grants access to users by public groups.,1,,0,,0
Universal Containers has a customer base where many customers have the same or similar company names.Which functionality should be configured to improve an end user's search experience? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Update the account search layouts search filter fields.,1,Update the account search layouts accounts tab columns displayed.,0,Update the account search layouts search results columns displayed.,1,Update the account search layouts list view filter settings.,0,,0,,0
An app builder creates an Account validation rule on the Industry field that will throw an error if the length of the field is longer than 6 characters. Another app builder creates a workflow with a field update that sets the Industry field to Technology whenever the Billing City field is set to San Francisco.What will happen the next time a sales person saves an Account with a Billing City of San Francisco?,Multiple Choice,No,Yes,No,Yes,2,1,1,The record will save and the Industry field will change to Technology.,1,The record will not save and no error message will be displayed.,0,The record will not save the validation rule's error message will be displayed.,0,The record will save but the Industry field will not change to Territory.,0,,0,,0
What is a true statement when deleting a dashboard?,Multiple Choice,No,Yes,No,Yes,2,1,1,Deleting a dashboard also deletes the components within it. It does not delete the custom reports used by the components.,1,Deleting a dashboard does not move the dashboard to the Recycle Bin and therefore the dashboard cannot be recovered.,0,Deleting a dashboard also deletes the components within it as well as the custom reports used by the components.,0,Deleting a dashboard requires a user to first edit the components to remove the underlying reports.,0,,0,,0
"A junction object has two Master-Detail relationships, a primary and a secondary master object.What happens to a junction object record when both associated master records are deleted?",Multiple Choice,No,Yes,No,Yes,2,1,1,The junction object record is permanently deleted and can't be restored.,1,The delete operation cannot be performed on both master records.,0,The delete operation is not allowed with Roll-up summary fields defined.,0,The junction object records is deleted and placed in the recycle bin.,0,,0,,0
Universal Containers wants its Field Sales team to only see the accounts that they own. Separate North American and European marketing teams should only see accounts in their respective regions. The Inside Sales Team needs to see all accounts in Salesforce.How should an app builder accomplish this?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Set the Organization-Wide Default to Public for accounts. Create profiles for each Marketing Team, and create an Inside Sales Team role that is at the top of the Role Hierarchy.",0,"Set the Organization-Wide Default to Public for accounts. Create criteria-based sharing rules for each Marketing Team, and create an Inside Sales Team permission set with the ""View All"" setting for accounts.",0,"Set the Organization-Wide Default to Private for accounts. Create permission sets for each Marketing Team, and create an Inside Sales Team profile with the ""View All"" setting for accounts.",0,"Set the Organization-Wide Default to Private for accounts. Create criteria-based sharing rules for each Marketing Team, and create an Inside Sales Team profile with the ""View All"" setting for accounts.",1,,0,,0
The app builder has just created a Visual Workflow for the VP of Service.Which two Flow be accessed by users? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Custom Button,1,Quick Action,1,Visual Workflow Launcher,0,From a Process,0,,0,,0
Which two metadata changes can be made directly in a production environment without deploying from a sandbox? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Validation rules,1,Apex Triggers,0,Apex Classes,0,Visualforce pages,1,,0,,0
The Training team at Universal Containers uses a custom Training object to track their customer training sessions. An app builder needs to create a relationship between the Training object and the related Students' record.Which two statements are true when creating a Student Lookup field on the Training object? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,"On Training record, the Student Lookup field can be made optional.",1,"On Student record, users can set up Roll-up summary field on Training records.",0,"On Training record, users can only delete Students, if they have access to it.",0,Cross-object field updates between Training and Student records are not supported.,1,,0,,0
An app builder would like to streamline the user experience by reflecting summarized calculations of specific fields on various objects.Which three field types could be used in roll-up summary fields to accomplish this? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Checkbox,0,Date,1,Percent,1,Time,0,Currency,1,,0
Which two are capabilities of record types? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Displaying different field labels.,0,Displaying different page layouts.,1,Filtering picklist values.,1,Having multiple record types on one record.,0,,0,,0
A custom object has a Public Read Only sharing setting that does not grant access using hierarchies. A dynamic sharing rule provides Write access to the object to the Global Marketing public group if the record is marked as Global. A user creates a new record and marks it as Global.Who will have write access to the record?,Multiple Choice,No,Yes,No,Yes,2,1,1,The Global Marketing public group and anyone above the owner in the role hierarchy.,0,The record owner and the Global Marketing public group.,1,The record owner and anyone above the owner in the role hierarchy.,0,"The Global Marketing public group, the record owner, and anyone above the owner in the role hierarchy.",0,,0,,0
Which three are features of the Custom Button? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Custom Button with Javascripts enhance Lightning Experience.,0,Custom Button is available for User Object.,0,Custom Button display at the top and bottom of a page.,1,Custom Button is available for Person Account.,1,Custom Button can reference an external app.,1,,0
"Universal Containers has two teams: Sales and Services. Both teams interact with the same records. Sales users use ten fields on the Account record. Service users use three of the same fields as the Sales team, but also have five of their own, which the Sales team does not use.What is the minimum configuration necessary to meet this requirement?",Multiple Choice,No,Yes,No,Yes,2,1,1,"One profile, one record type, one page layout.",0,"One profile, two record types, one page layout.",0,"Two profiles, two record types, two page layouts.",0,"Two profiles, one record type, two page layouts.",1,,0,,0
"In Salesforce Classic, which two statements are true for embedding a Visualforce page in a page layout? (Choose two.)",Multiple Choice,No,Yes,No,Yes,2,2,2,Visualforce pages on a field set have attribute for width and height.,0,Visualforce pages can only be placed in the Visualforce section in a page layout.,0,Visualforce pages on a page layout have attributes for width and height.,1,Visualforce pages can be placed in the details section of a page layout.,1,,0,,0
Which two rules can be configured for the Opportunity object? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Escalation Rule,0,Validation Rule,1,Assignment Rule,0,Workflow Rule,1,,0,,0
