Questions,Type,Time Limit,Required,Page Break,Randomize,Columns,Minimum Answers,Maximum Answers,Answer 1,Score,Answer 2,Score,Answer 3,Score,Answer 4,Score,Answer 5,Score,Answer 6,Score
Universal Containers wants to ensure that they are accepting clean data from their users and verify that important fields are entered.What should an app builder recommend to meet this requirement?,Multiple Choice,No,Yes,No,Yes,2,1,1,Make a formula field to check the format of the important fields,0,Update the important fields to be required on the page layout,0,Create a workflow rule to check the fields are formatted correctly,0,Configure a validation to require a field for a specific record type,1,,0,,0
What are two reasons to create an unmanaged package? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Distributing upgradeable components to other Salesforce orgs,0,Deploying from a Developer Edition environment,1,Publishing an application for sale on the AppExchange,0,Distributing open-source projects on the AppExchange,1,,0,,0
An app builder has created a custom Lightning App and wants to make it available to the internal users at Universal Containers.Which two steps are necessary to accomplish this task? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Build a Custom Tab for the app,1,Create a subdomain using My Domain,1,Upload the app to Static Resources,0,Create a Visualforce page,0,,0,,0
Universal Containers uses a private sharing model on Accounts. User A and User B both own Accounts of their own and have both been sent a new Account record in an email owned by User C to take a look at. User A is able to open and view the record but User B receives an insufficient privileges error. User A andUser B have the same role in the Role Hierarchy as User C.What are the three reasons User A has access but User B is unable to access the record? (Choose three.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,3,3,User A is in a Public Group that has access via a Sharing Rule,1,User A and User B have different profiles,0,User A is on the same Account Team as User C,1,User C has manually shared the record with User A,1,User A was granted an additional permission set,0,,0
Universal Containers uses a custom object called Reviews to capture information generated by interviewers during the candidate process. The Review records are visible to any user that has access to the related custom Candidate record. The VP of Human Resources wants the comment field on the Review to be private to anyone outside of the HR department.How should the app builder meet this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a page layout with the field for HR users and another page layout without the field for all other users,0,Create an Apex sharing rule to share the field with users that have ג€HRג€ in their role,0,Create a sharing rule to share the field with the VP of HR with Role and Subordinates,0,Create a page layout with the field and use field-level security to hide the field from all other users,1,,0,,0
Which feature should an app builder use to ensure that new Leads are automatically sent to the appropriate Sales Rep?,Multiple Choice,No,Yes,No,Yes,2,1,1,Workflow Rules,0,Visual Flow,0,Lead Assignment Rules,1,Lead Convert,0,,0,,0
Accounts at Universal Containers are currently readable by all users but editable only by their owners. Management wants to designate some Accounts as VIPAccounts. Only Account owners should have read access to these VIP accounts.What two actions should an app builder take to meet the requirements? (Choose two.) (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,2,2,Implement a sharing rule,1,Change Organization-wide Defaults,1,Set up an Account Team,0,Configure a permission set,0,,0,,0
An app builder has been asked to display an Overdue Date that is two months after a Task's Due Date.Which approach should the app builder take? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a formula field using the ADDMONTHS() function,1,Use Process Builder and set Overdue Date equal to DueDate + 60,0,Create a formula field using DueDate + 60,0,Use Process Builder and set Overdue Date equal to DueDate + ((365/12) * 2),0,,0,,0
The VP of Sales wants a Chatter post to the All Sales private group when an Opportunity goes to the closed won stage.What two tools should the app builder use to automate this process? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Process Builder,1,Big Deal Alert,0,Workflow,0,Flow,1,,0,,0
Universal Containers implemented an application process that uses custom objects Internships and Applications. The organization-wide default for Internships has been set to private and is the master in the master-detail relationship with Applications. The VP of HR wants to allow edit access to Applications to recruiters.How should an app builder configure the proper access? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Create a sharing rule that grants the users Read/Write access to the Application records,0,Create a queue for the web applications and assign access to the users who will be editing the records,0,Add a sharing rule that grants the users Read/Write access to the Internship records,1,Set the organization-wide default on the Applications object to Read/Write,0,,0,,0
Managers at Universal Containers want a quick way to create additional accounts to form a hierarchy from a parent account record. They want to auto-populate five fields based on the parent to make it easier for users to create the child accounts quickly.What should the app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Custom Global Quick Action,0,Custom Button on Account,0,Custom Action on Account,1,Custom Link on Account,0,,0,,0
"A customer service representative at Cloud Kicks wants to be able to collect information from customers using a series of question prompts. Once the questions are completed, an email should be sent to the customer with a feedback form.What should be used to accomplish this? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Lightning Flow,1,Process Builder,0,Apex Trigger,0,Einstein Next Best Action,0,,0,,0
"The Service Manager would like to highlight case age. When a case is new, they would like to see a green flag on the case record. The flag should be yellow if the case is still open after one day. The flag should be red when cases are open after three days.Which two options should an app builder use to implement this requirement? (Choose two.) (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,2,2,Formula Field,1,IMAGE,1,VLOOKUP,0,Quick Action,0,,0,,0
Sales reps at Universal Containers use Salesforce on their mobile devices. They want a way to add new contacts quickly and then follow up later to complete the additional information necessary.What mobile solution should an app builder recommend?,Multiple Choice,No,Yes,No,Yes,2,1,1,Use Path and set pre-defined values.,0,Add a compact layout to Contacts.,0,Build a global action to create Contacts.,1,Customize the mobile menu to move Contacts to the top.,0,,0,,0
Which two standard Lightning page components are available in the Lightning App Builder? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Highlights Panel,1,Accordion,1,Quick Text,0,Path,0,,0,,0
Universal Containers has created two custom objects called Seminars and Attendees. Organization-wide defaults for these objects have been set to Private.Universal Containers wants to set up a new junction object between these custom objects. A select group of users should be able to edit records in the junction object.Which two steps should an app builder take to configure the proper security? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Set Sharing Settings to Read Only on both Master-Detail relationship fields.,0,Create owner-based sharing rules that give Read access to the master objects.,1,Create an owner-based sharing rule that gives Read access to the junction object.,0,Set lookup filters on both junction object relationship fields.,1,,0,,0
"Users at Cloud Kicks provided feedback that the time card custom page layout has too many fields on it, and some fields are only needed if other fields are entered.What should an app builder configure to help with this issue?",Multiple Choice,No,Yes,No,Yes,2,1,1,Separate page layouts,0,Dependent picklists,0,Dynamic forms,1,Lightning web components,0,,0,,0
"Universal Containers (UC) has 20 different workflows on the Opportunity object. To ensure that updates are processing properly for all field updates; UC has the`Re-evaluate Workflow Rules After Field Change` checkbox checked. Recently after adding a new workflow, users have reported receiving errors about workflow limits.What should an app builder look at to address this issue?",Multiple Choice,No,Yes,No,Yes,2,1,1,Number of workflows per object limits,0,Talk to a developer about Apex code issues,0,Workflows that cause each other to fire back and forth recursively,1,Workflows on other objects that are being re-triggered,0,,0,,0
Universal Containers (UC) has several large customers that sell their products through dealers. Each customer and dealer has an individual rep who works directly with UC and each is billed separately.How should an app builder implement these requirements? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,"Create both customer and dealer as accounts, create account teams on each account and associate the dealer records with the parent account.",0,"Create a single parent record, add each rep as a contact to the parent account and add each dealer as a child record.",0,"Create both customer and dealer as accounts, add each rep as a contact on the corresponding account and create an account hierarchy.",1,"Create a single account record, add each rep as a contact and create a custom dealer object.",0,,0,,0
An app builder creates an Account validation rule on the Industry field that will throw an error if the length of the field is longer than 6 characters. Another app builder creates a workflow rule with a field update that sets the industry field to technology whenever the billing city field is set to San Francisco.What will happen the next time a sales person saves an Account with a billing city of San Francisco?,Multiple Choice,No,Yes,No,Yes,2,1,1,The record will NOT save and the validation rule's error message will be displayed.,0,The record will save but the industry field will NOT change to technology.,0,The record will save and the industry field will change to technology.,1,The record will NOT save and the error message will NOT be displayed.,0,,0,,0
Universal Containers (UC) requires that all users specify a contract is sent on each Opportunity prior to marking it as `Closed Won`. UC wants to be able to report on how many Opportunities have sent Contracts compared to how many have a missing contract when the Opportunities closed.What type of field should an app builder configure to fulfill this requirement? (Community and Correct Answer Mismatch),Multiple Choice,No,Yes,No,Yes,2,1,1,Text Area,0,Picklist,0,Checkbox,1,Text,0,,0,,0
"A production org includes custom objects containing confidential information. A sandbox is needed that includes data records, excludes all of the confidential objects, and can be refreshed weekly.What steps should an app builder take to meet these requirements?",Multiple Choice,No,Yes,No,Yes,2,1,1,Create a Developer Sandbox and schedule Data Loader to download selected object data weekly.,0,Create a Partial Copy Sandbox and use a sandbox template.,1,Create a Full Sandbox and use a sandbox template.,0,Create a Developer Pro Sandbox and schedule Data Loader to download selected object data weekly.,0,,0,,0
"The VP of Sales at Cloud Kicks wants to have a set of screens to guide the inside sales team through collecting and updating data for leads. Once the leads are updated, the leads should be entered into a marketing journey activated by the sales rep checking the marketing checkbox.How should the app builder accomplish this?",Multiple Choice,No,Yes,No,Yes,2,1,1,Lighting Flow,1,Path,0,Process Builder,0,Workflow,0,,0,,0
The convert button on Leads should NOT appear until the Lead Status picklist is set to Qualified.What should an app builder suggest to meet these requirements?,Multiple Choice,No,Yes,No,Yes,2,1,1,"Picklist dependency, page layouts, record types",0,"Process Builder field update, quick action, record type",0,"Page layouts, record types, Process Builder field update",1,"Custom button, validation rule, record types",0,,0,,0
"Representatives at Cloud Kicks use Salesforce to record information for new Leads. When new prospects are added, an outbound message is sent to the data warehouse with the Lead's information.What automation tool should an app builder use to meet this requirement? (Community and Correct Answer Mismatch)",Multiple Choice,No,Yes,No,Yes,2,1,1,Design an approval process that sends an outbound message.,0,Create a workflow rule with an outbound message as the action.,0,Create a process using Process Builder to send an outbound message.,0,Use Lightning Flow to send an outbound message.,1,,0,,0
Duplicate management for Leads has been implemented at Universal Containers but it seems duplicate leads are still being created.The Org Wide Default (OWD) is set to `Private` for Leads.Which two actions help prevent duplicate Leads from being created? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Change the Lead Matching Rule to Block on Create.,1,Change the Lead Duplicate Rule details to Bypass Sharing Rules.,1,Change OWD for Leads to Public Read.,0,Change OWD for Leads to Public Edit.,0,,0,,0
"Cloud Kicks (CK) has increased its Salesforce development efforts so that it now has multiple custom development efforts happening in parallel. CK’s developers and admins perform the customizations and have complained that working in one sandbox has led to many problems. They have requested a solution in which they can work in at least 20 different sandboxes at once, that all start with the same base configuration and data.What should an app builder utilize to solve the problem?",Multiple Choice,No,Yes,No,Yes,2,1,1,Partial Copy Sandboxes,0,Sandbox Refreshes,0,Sandbox Cloning,1,Full Copy Sandboxes,0,,0,,0
Universal Containers is migrating its sales operations from a legacy system that was used in Europe. Opportunities need to be imported with the proper country currency.Which two steps should an app builder configure to meet these requirements? (Choose two.),Multiple Choice,No,Yes,No,Yes,2,2,2,Include the Currency ISO code in all currency fields in the import file.,0,Use Data Loader to import the records.,1,Include the Currency ISO Code Column in the import file.,1,Use Import Wizard to import the records.,0,,0,,0
Cloud Kicks wants to set up a new opportunity approval process and execute various action items based on the initial submission.Which three action types should an app builder use in the approval process? (Choose three.),Multiple Choice,No,Yes,No,Yes,2,3,3,Email Alert,1,Task,1,Outbound Message,1,Invocable Flow,0,Invocable Process Builder,0,,0
